idpregunta,categoria,valor,Pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,imagen,nombre_imagen
1,Historia,100,¿En qué año comenzó la Primera Guerra Mundial?,1912,1914,1916,1918,B,,
2,Historia,200,¿Quién fue el primer emperador del Imperio Romano?,Julio César,Nerón,Augusto,Trajano,C,,
3,Historia,300,¿Qué civilización construyó Machu Picchu?,Aztecas,Mayas,Incas,Olmecas,C,,
4,Historia,400,¿En qué año cayó el Muro de Berlín?,1985,1987,1989,1991,C,,
5,Historia,500,¿Qué tratado puso fin a la Primera Guerra Mundial?,Tratado de París,Tratado de Versalles,Tratado de Roma,Tratado de Ginebra,B,,
6,Historia,600,¿Qué dinastía gobernó China durante la construcción de la Gran Muralla?,Ming,Han,Qin,Tang,C,,
7,Ciencia,100,¿Cuál es el planeta más cercano al Sol?,Venus,Mercurio,Marte,Júpiter,B,,
8,Ciencia,200,¿Qué gas es esencial para la respiración humana?,Nitrógeno,Oxígeno,Dióxido de carbono,Helio,B,,
9,Ciencia,300,¿Cuál es la fórmula química del agua?,H₂O,CO₂,O₂,CH₄,A,,
10,Ciencia,400,¿Qué científico propuso la teoría de la relatividad?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,B,,
11,Ciencia,500,¿Qué partícula subatómica tiene carga negativa?,Protón,Neutrón,Electrón,Quark,C,,
12,Ciencia,600,¿Qué es el bosón de Higgs?,Un tipo de átomo,Una partícula que da masa a otras partículas,Un gas inerte,Una fuerza gravitacional,B,,
13,Geografía,100,¿Cuál es el río más largo del mundo?,Amazonas,Nilo,Yangtsé,Misisipi,A,,
14,Geografía,200,¿Qué país tiene la mayor población del mundo?,India,China,Estados Unidos,Indonesia,B,,
15,Geografía,300,¿Cuál es la capital de Australia?,Sídney,Melbourne,Canberra,Perth,C,,
16,Geografía,400,¿En qué continente se encuentra el desierto del Sahara?,Asia,África,América,Oceanía,B,,
17,Geografía,500,¿Qué montaña es la más alta del mundo?,K2,Kilimanjaro,Aconcagua,Everest,D,,
18,Geografía,600,¿Qué país tiene más islas en el mundo?,Japón,Canadá,Suecia,Indonesia,C,,
19,Arte,100,¿Quién pintó la Mona Lisa?,Miguel Ángel,Leonardo da Vinci,Rafael,Botticelli,B,,
20,Arte,200,¿A qué corriente pertenece Pablo Picasso?,Surrealismo,Impresionismo,Cubismo,Realismo,C,,
21,Arte,300,¿En qué museo se encuentra “La noche estrellada” de Van Gogh?,Louvre,Museo del Prado,Museo de Arte Moderno de Nueva York,National Gallery,C,,
22,Arte,400,¿Qué escultor creó “El David”?,Donatello,Bernini,Miguel Ángel,Cellini,C,,
23,Arte,500,¿Qué artista es conocido por sus relojes derretidos?,Dalí,Miró,Picasso,Monet,A,,
24,Arte,600,¿Qué pintura representa el bombardeo de Guernica?,Las Meninas,El jardín de las delicias,Guernica,La persistencia de la memoria,C,,
25,Deportes,100,¿Cuántos jugadores tiene un equipo de fútbol en el campo?,9,10,11,12,C,,
26,Deportes,200,¿En qué deporte se usa una raqueta y una pelota amarilla?,Pádel,Tenis,Bádminton,Squash,B,,
27,Deportes,300,¿En qué año se celebraron los primeros Juegos Olímpicos modernos?,1896,1900,1912,1920,A,,
28,Deportes,400,¿Qué país ha ganado más Copas del Mundo de fútbol?,Alemania,Italia,Brasil,Argentina,C,,
29,Deportes,500,¿Quién es conocido como “El hombre más rápido del mundo”?,Carl Lewis,Usain Bolt,Jesse Owens,Tyson Gay,B,,
30,Deportes,600,¿En qué deporte destacó Michael Phelps?,Atletismo,Gimnasia,Natación,Remo,C,,
31,Literatura,100,¿Quién escribió “Don Quijote de la Mancha”?,Lope de Vega,Miguel de Cervantes,Calderón de la Barca,Garcilaso de la Vega,B,,
32,Literatura,200,¿Qué autor escribió “Cien años de soledad”?,Mario Vargas Llosa,Gabriel García Márquez,Julio Cortázar,Pablo Neruda,B,,
33,Literatura,300,¿En qué país nació William Shakespeare?,Francia,Escocia,Inglaterra,Irlanda,C,,
34,Literatura,400,¿Qué libro comienza con la frase “En un lugar de la Mancha…”?,El Lazarillo de Tormes,La Celestina,Don Quijote de la Mancha,Crónica de una muerte anunciada,C,,
35,Literatura,500,¿Qué poeta escribió “Veinte poemas de amor y una canción desesperada”?,Octavio Paz,Rubén Darío,Pablo Neruda,Federico García Lorca,C,,
36,Literatura,600,¿Qué escritor francés es autor de “Los miserables”?,Molière,Victor Hugo,Balzac,Dumas,B,,
